"C25, C33","100uF, 6.3V",TANT B,MFF6E30,6TPE100MAZB,松下,2
X2,8Mhz,4-SMD CRYSTAL 5X3.2mm,M4BDDB1,ABM3B-8.000MHZ-10-1-U-T,ABRACON CORPORATION,1
P1,JST PH 6 PIN,JST PH TH VERT 6,M285EC0,B6B-PH-K-S(LF)(SN),JST,1
P3,JST PH 4 PIN,JST PH TH VERT 7,MC06839,B7B-PH-K-S(LF)(SN),JST,1
P101,JST PH 4 PIN,JST PH TH VERT 4,M94CE3F,B4B-PH-K-S(LF)(SN),JST,1
"Q1, Q2, Q3, Q4, Q5, Q6",,DIRECTFET_1,M4FEFC3,IRF7749L1TRPBF,INFINEON TECHNOLOGIES/IR,6
D1,,SMD-0603 LED GREEN,M852A73,LTST-C190KGKT,LITEON,1
D2,,SMD-0603 LED RED,M203363,LTST-C191KRKT,LITEON,1
D3,,SMD-0603 LED BLUE,MED1E06,LTST-C191TBKT,LITEON,1
"C2, C3, C27, C32","100nF, 50V",SMD-0603 Capacitor,M3A49A0,,,4
"C5, C6, C7","4.7nF, 50V",SMD-0603 Capacitor,M38EF2A,,,3
"C10, C11, C12, C13, C14, C16, C17, C23, C24, C31, C35, C41, C52, C401, C402","2.2uF, 16V",SMD-0603 Capacitor,M81FBF7,CL10A225KA8NNNC,SAMSUNG(三星),16
"C15, C38","15pF, 100V",SMD-0603 Capacitor,MF3BAC9,CC0603JRNPO0BN150,YAGEO,2
C19,"120pF, 50V",SMD-0603 Capacitor,M2EF970,,,1
C21,"6.8nF, 50V",SMD-0603 Capacitor,M419853,,,1
C22,"22nF, 50V",SMD-0603 Capacitor,M917491,GCM188R71H223KA37D,muRata,1
"C28, C29, C30","220nF,25V",SMD-0603 Capacitor,MED40A2,,,3
"C34, C36","2.2nF, 50V",SMD-0603 Capacitor,M610EA7,,,2
"C4, C18, C20, C26","4.7uF, 16V",SMD-0603 Capacitor,MCB009A,,,4
"C43, C44, C49, C50, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111","4.7uF, 100V",SMD-1206 Capacitor,M5CD5DA,CC1206KKX7R0BB475,YAGEO,14
"C100, C101","680uF, 63V",ALU CAP 16DIA 25HIGH,M5C0B5D,UPW1J122MHD,NICHICON,2
D4,,SOD-123W,M7D0432,PMEG6020ER-115,NEXPERIA,1
D5,5V,DO-214AC,M12796F,SMAJ5.0A,MDD,1
D101,51V,SMC-403-03,M743637,SMCJ51A,MDD,1
L1,Power Inductor,HCM0503,MBCF14F,HCM0503-220-R,'COILTRONICS / EATON,1
R1,10K NTC,SMD-0603 Resistor,M49AA68,NCP18XH103F03RB,muRata(村田),1
"R2, R7, R8, R9, R10, R20, R402",10k,SMD-0603 Resistor,M172D84,RK73H1JTTD1002F,KOA,7
"R3, R23, R26, R30, R32, R36, R46",39k,SMD-0603 Resistor,MEE5AC0,RTT033902FTP,RALEC(旺诠),7
"R4, R5, R11, R12, R13, R22, R24, R27, R33",2.2k,SMD-0603 Resistor,M2AD53A,RK73H1JTTD2201F,KOA,9
R17,18k,SMD-0603 Resistor,M3A85B5,RTT031802FTP,RALEC(旺诠),1
R18,3.3k,SMD-0603 Resistor,MEA14A0,RK73H1JTTD3301F,KOA,1
R19,15k,SMD-0603 Resistor,M1A60A5,AC0603FR-0715KL,YAGEO(国巨),1
R21,220k,SMD-0603 Resistor,M73DE7A,RTT03224JTP,RALEC(旺诠),1
R25,1M,SMD-0603 Resistor,M584236,RT0603BRD071ML,YAGEO,1
"R28, R29, R34, R35, R42, R43",4R7,SMD-0603 Resistor,M602B81,RK73H1JTTD4R70F,KOA,6
"R37, R38, R48, R49, R50, R51",100,SMD-0603 Resistor,ME03A25,TC0310F1000T5E,UniOhm台湾厚声,6
R401,220,SMD-0603 Resistor,M23381E,0603FR－07220RL,国巨,1
S,0R001,WSLP2726,MED0581,WSLP27261L000FEA,Vishay / Dale,2
"R103, R104",22R0,SMD-0603 Resistor,M30CC78,0603WAF220JT5E,UniOhm台湾厚声,2
U1,,TSQFP50P1200X1200X160-64,ME124E3,STM32F405RGT6,ST,1
U2,3.3V,SOT230P700X180-4N,M7B8385,AP2114H-3.3TRG1,DIODES INCORPORATED,1
U3,MOSFET Driver,SOP127P600-8N,M946993,DRV8302DCA,TI(,1
U401,CAN Transceiver,HVSON8,M0E32BE,"TJA1051TK/3,118",NXP,1
X1B,Mini-USB,USB-MICRO B RA SMT-TH,MBD3C88,10118194-0001LF,Amphenol,1
